Rank,Player,EX Rating,Charts Rated
1,Arbitrary,12.463,104
2,Zennan,12.419,98
3,bobob13131,12.374,106
4,impossablank,12.257,97
5,NULL,12.255,103
6,level 74 ball stinker,12.141,100
7,tapewormtickler,12.128,103
8,TeamGames,12.107,74
9,hAck_3r64,12.028,94
10,steelce,12.004,106
11,m,11.987,79
12,Punchy,11.985,101
13,melike_cookiecake,11.918,104
14,Trumpet_Boi_208,11.864,85
15,Celery,11.856,97
16,hotsauceinramen,11.845,105
17,alex schmalex,11.807,90
18,Dr. Fishy,11.744,104
19,Pringles,11.739,100
20,:treblesat:,11.668,105
21,DavidC,11.629,104
22,jjules.,11.597,104
23,MLSplat,11.589,88
24,asymmetric,11.578,99
25,FacadeNico,11.567,73
26,fu_nya,11.564,104
27,V-859,11.561,89
28,orbital,11.546,92
29,clink35,11.529,73
30,Flowery,11.515,89
31,Metalhead\m/,11.489,66
32,Durinawi,11.484,92
33,RobotFromAnotherGalaxy,11.446,99
34,Mash0u0,11.419,96
35,Flow.D,11.416,67
36,Vaporeon,11.409,105
37,Jonborg,11.382,103
38,BurgerMinus,11.382,102
39,Lavi{nder},11.362,90
40,terry,11.357,98
41,Blond,11.348,77
42,Laurie D. Bunnykins,11.340,80
43,Lichtbaulb,11.314,87
44,Weeb Shortz,11.299,103
45,MelloBoo44,11.265,96
46,Tannyn01,11.227,90
47,toilerpapet,11.216,98
48,Underswap Koefficient,11.199,55
49,Dasemboh,11.193,86
50,RustyDusty216,11.189,103
51,gort,11.188,100
52,Ubii,11.165,83
53,MrBoomy37,11.152,94
54,asdocv,11.151,94
55,branstonbakesbeans,11.081,104
56,ampedJovial,11.080,72
57,eryththeerrant,11.074,103
58,riol2,11.068,76
59,WaverWaffle,11.060,100
60,Matarakuja,11.057,102
61,Blitzz(ic),11.054,88
62,Eschatoast,11.050,87
63,Quagswag,11.031,88
64,CrazyToad,11.019,103
65,The Wokeler,11.015,101
66,Remy,10.971,94
67,hoodiedweller,10.947,106
68,rosie,10.935,89
69,the pointer from Mario Galaxy 2,10.922,85
70,Super3060,10.894,84
71,Wuelis,10.883,85
72,Velen,10.870,105
73,into-the-frey,10.870,80
74,Riccardo49,10.860,55
75,Asahayta,10.845,88
76,Mthw,10.815,97
77,Mir1nae,10.810,72
78,bingo space,10.804,74
79,shouja,10.784,64
80,Waaats,10.744,99
81,Thire,10.722,100
82,northirn,10.680,81
83,Aguacate,10.599,80
84,3.00,10.591,92
85,ItzDeathAngel,10.585,84
86,Dragonwild129,10.563,96
87,Kuri,10.555,90
88,Wing ;3,10.544,62
89,lyanna ☆,10.518,75
90,Eren Hinger,10.512,105
91,Jaundy,10.511,91
92,Himejoshi Heart,10.502,102
93,Sumarexon,10.499,81
94,waddler626,10.491,100
95,Lumika,10.481,83
96,Banned@UNBEATABLEdiscord:(,10.471,39
97,random stupid,10.448,98
98,humanoid,10.416,60
99,a5letterword,10.409,99
100,Joe Baseball,10.408,83
101,Vaight,10.389,80
102,Fairy Platinum,10.387,104
103,onehalfatsquared,10.387,100
104,Lilizard,10.372,96
105,F43555,10.339,60
106,rygym,10.315,87
107,real beat unbeatable,10.300,91
108,A Half Eaten Mars Bar,10.298,64
109,Helix,10.297,87
110,AwesomeGJ1,10.274,85
111,maeam,10.272,101
112,WickedFluffyVT,10.267,76
113,NinjaOfDusk,10.246,86
114,Maz3_K,10.246,104
115,burn my bread,10.243,94
116,SinDarkFatez,10.231,68
117,cyto,10.228,104
118,Whys3p,10.220,74
119,Femmelatonin218,10.211,92
120,Matt,10.205,88
121,Rekvu,10.203,101
122,Muflon,10.198,85
123,IndoIsmailGD,10.182,73
124,Jamin' Jamal,10.173,100
125,оптимизация гoвнa,10.167,84
126,Crushed,10.167,87
127,Asterisk3095,10.165,93
128,aleimew,10.165,104
129,angel,10.159,73
130,chrisg,10.156,85
131,Droub,10.152,72
132,JJDYAH,10.148,80
133,Infinito,10.133,83
134,8bitbreadbox,10.121,98
135,tessalucy,10.114,80
136,Flamepig27,10.113,72
137,Sprutt,10.112,63
138,The Neighbor,10.090,98
139,BlueMemories1,10.054,71
140,Seven-8 ッ,10.046,63
141,ward,10.034,96
142,☆ quinn ☆,10.025,93
143,ElderSkyrim,10.012,80
144,Cat in hats,10.008,67
145,sagota,9.996,81
146,Spearmint Starlight,9.989,92
147,chrisruss,9.984,77
148,flyingrobotpig,9.973,97
149,Pluncks,9.970,84
150,Russeste,9.968,59
151,TheCardUser,9.965,66
152,Kobber,9.958,59
153,SFToons,9.957,90
154,AlphaDK,9.943,84
155,luantetinha24,9.942,74
156,Wisp,9.930,96
157,ripstick,9.912,61
158,TaxationSensation,9.911,83
159,OTalley06,9.885,83
160,chudsire,9.883,95
161,NetCode404,9.881,90
162,Tiansha [天殺],9.881,66
163,Egzalt,9.874,89
164,Lapis,9.842,84
165,Jolity,9.840,62
166,Toadeen,9.837,89
167,Wizardly,9.824,93
168,king_bob245,9.810,65
169,Beezy,9.806,101
170,Samimasen,9.803,93
171,Epicjeong,9.803,64
172,staticveins,9.792,75
173,Hatcheye,9.786,106
174,Sevy,9.777,87
175,SCRWarEagle,9.776,85
176,SuperBanana,9.775,55
177,BoscoSticc,9.772,81
178,MikuBanana,9.759,78
179,FloppyFosh,9.758,106
180,Punz,9.751,75
181,Oneul,9.751,58
182,spring horse,9.740,81
183,koakuma,9.740,87
184,Norosphora,9.738,100
185,Troebajoer,9.735,87
186,Melty,9.733,75
187,Jamen_z,9.716,56
188,man_of_awsom,9.706,61
189,DiceyIcy,9.705,88
190,Traingle Man,9.705,87
191,Ivycrose,9.704,82
192,HippieGhost,9.703,102
193,Sapphipenug,9.694,93
194,Diabloss21,9.690,86
195,SqueakCheesetaker,9.683,59
196,DragonOverflowError,9.670,101
197,TheChosenDino,9.668,92
198,eatlightning,9.668,71
199,murduerer's Gub,9.660,106
200,liquid nitrogen,9.658,57
201,ordin5512,9.658,89
202,Laser Joe,9.658,53
203,Jibjar608,9.655,87
204,Chilifro,9.653,98
205,Pickly,9.647,66
206,hana,9.640,91
207,Mcbinse,9.634,69
208,Palace,9.632,61
209,Darealhatty,9.627,87
210,Gloria,9.624,70
211,frame3,9.623,99
212,Brogam <3,9.623,91
213,A33CHIP_SET,9.615,81
214,chiffocado,9.600,82
215,SomethingFun29,9.596,81
216,Sombino,9.591,67
217,isaacmartin7777,9.580,104
218,Frod,9.549,75
219,infurno,9.546,61
220,Mahou☆Shoujo!!,9.543,73
221,Defin,9.538,29
222,Kaz,9.531,72
223,Lunar Cow,9.524,71
224,winter,9.505,85
225,decry,9.505,47
226,SaVia01,9.497,61
227,SalemStarlight,9.496,74
228,UXKNXWNN,9.494,54
229,Lyserg.Z,9.491,87
230,D_JoeL_V,9.486,77
231,Garedbi,9.478,92
232,Ultralynk,9.476,95
233,Coreyx27,9.469,84
234,Toby Fox,9.461,83
235,ssj2jin,9.456,72
236,semisgone,9.455,81
237,parry kong,9.442,34
238,yana23807,9.440,98
239,Eszenn,9.428,37
240,splortch,9.422,73
241,Leyla,9.408,86
242,Yoshikage Mia,9.405,45
243,brystol16,9.396,86
244,Ira Grachevskaya,9.395,90
245,Black Beard's Blue Beard,9.395,96
246,Simply Resharkable,9.392,77
247,Grahador,9.391,65
248,Catsposter,9.384,66
249,mauveberry,9.373,97
250,groggo,9.359,47
251,XD_E239li,9.354,49
252,EsKitLin,9.345,65
253,S_Decs,9.344,53
254,frank,9.343,46
255,Entire,9.334,80
256,NotEvenDuck,9.334,73
257,AshWlk,9.329,85
258,skyler948,9.325,60
259,suselle trooper #671125,9.321,73
260,globinguy,9.315,96
261,LunarDuck,9.312,76
262,Maple Lapis,9.311,106
263,sad juice,9.309,71
264,ghost,9.299,63
265,Vander,9.293,63
266,Cris,9.289,79
267,HP LaserJet 1022,9.283,71
268,rick slick,9.280,82
269,Becka,9.279,68
270,nat-the-octo,9.271,72
271,SchnoppDog,9.269,95
272,Magpie,9.268,62
273,JoPro,9.264,65
274,Madame Wooliest :3,9.264,71
275,JerbieLuna,9.252,74
276,Arc,9.250,37
277,laser,9.249,91
278,FireLordEthan,9.246,82
279,BaniiChoVT,9.238,76
280,LeereWesen,9.236,78
281,Yuumeda,9.220,78
282,PKLove,9.215,86
283,Terrific Tales,9.212,73
284,BonafideMonafide,9.208,61
285,TheUnitardShow,9.182,92
286,utlra dookie commander,9.182,44
287,Hallow,9.179,86
288,Hummus,9.164,81
289,Majokuma,9.161,72
290,Roarey Knight,9.158,58
291,A Kawaii Tree,9.158,105
292,"""Optional"" Karmotrine",9.142,88
293,izzasou,9.128,56
294,yumdum,9.125,45
295,Green,9.121,74
296,TheDarkenedRose,9.119,70
297,IIdentity,9.111,58
298,TempestRaptorZyx,9.106,89
299,Astrowolf907,9.104,69
300,TTVThePastah,9.091,78
301,eziliki,9.081,93
302,W00Kie KiLLer1,9.075,88
303,VampyCargo,9.075,72
304,Tiwati,9.063,90
305,Undead Phoenix,9.053,75
306,Netrob,9.050,50
307,bistouqe,9.044,64
308,squido,9.040,61
309,sans (Dillionaire),9.034,76
310,DAPU,9.023,74
311,newaige,9.023,68
312,it mia,9.022,94
313,Labora,9.021,85
314,GamerCat,9.019,89
315,Summer,9.016,69
316,george saros,9.016,77
317,Rangatron,9.014,53
318,M I S E R Y,9.011,72
319,ACE117414,9.009,52
320,antmonaxion,9.008,96
321,AverageSupernova,9.008,83
322,SuperContact,9.000,44
323,crowsine,8.998,41
324,VibeTurtle,8.998,68
325,_Adrik,8.990,99
326,higoodbye7,8.989,51
327,Maya,8.981,76
328,xX_n00b_Xx,8.975,67
329,SackTNTシ,8.964,39
330,Lokarec,8.956,50
331,a3ternvm,8.955,86
332,bea-two in the qubeley mk2,8.955,88
333,clover,8.944,60
334,VicheITG,8.939,50
335,dtopoly,8.937,84
336,Slight,8.936,99
337,Ophicleide,8.930,72
338,Alexis986,8.917,38
339,namesystem,8.903,52
340,lilblade1024,8.891,64
341,Primomac,8.888,66
342,tsharktypebeat,8.887,89
343,Міку Хацуне,8.886,50
344,200 zombies,8.884,45
345,joEmAMA,8.875,55
346,Stark,8.874,67
347,TableAndChairs,8.873,73
348,falling,8.873,62
349,sorouse,8.870,67
350,Reina,8.869,64
351,TroubleMaykr,8.865,72
352,The Secret 3rd Option,8.851,70
353,Tyler,8.845,85
354,Zorua,8.844,81
355,MaddieVT,8.844,99
356,k8nyp,8.838,76
357,Clear|Mobius,8.837,62
358,iris | ninetales,8.835,96
359,Chunchunmaru,8.830,31
360,D E O X,8.827,92
361,Nil,8.822,74
362,avenw,8.812,66
363,kip,8.805,99
364,MeWhen,8.805,45
365,Jarhead,8.803,34
366,vanillabanana24,8.803,58
367,Guyoninterweb,8.801,40
368,worm,8.794,69
369,code bearer,8.789,88
370,gold_me,8.787,77
371,DogeClan_7,8.787,43
372,AbnerSquared,8.768,76
373,H20_Bottle,8.765,57
374,Uhhwatt,8.755,49
375,Zweifer,8.753,91
376,egarcia1360,8.748,33
377,Pearl,8.746,51
