Rank,Player ID,Player,EX Rating,Charts Rated
1,zzu9Jfc1JvPkNU5EUPLKhlu1MN58,sapphire_in_pink,4.956,75
2,zzqdBQi9aPy03kE8RxfV3LIMOZ7a,followmyvoice,2.050,2
3,zzn9lBNH1g6CvEa8iwtP1ZMDKajb,FleetingAria,2.581,15
4,zzia0eCYBeZup25TeDgjftjmRf5D,keff,2.325,6
5,zzZllzn0jLi3Ixj15NSZ2PKxdfqG,aq_sorrel,2.186,6
6,zzT2j9QR2gOaHJLwzsQmw49E2Cbw,Bumighator,2.661,21
7,zzNekPSumyKdkg94PrcXIf5E8jYL,D3TOOTUFF,5.101,118
8,zzNL7mzobESf6BogIGaGsR3L61vM,theyoungneil,2.701,16
9,zzKzY70MnwnD3jkiSPfXCMnEgiIE,Luna,4.840,32
10,zzKkQqYqnz5hDEyZ0UC2oAuXKbeV,theoneandonlyboogel,3.851,40
11,zzF7kPAmYciX6IqF3hzHM62OPF79,zack_brito,5.427,47
12,zzEAf5E5NT13EXAv9313FBMBECNo,Cliff,3.705,29
13,zzBfoa2wZoujg7My17yHqc6y3yfA,Whatsirface,2.056,3
14,zzAhvdlRyaMHZ6j7pXUVUlDtAHgI,Fooly_CoolyXD,4.004,37
15,zz9Y0fx2RLcmsgbXIjan2csoRzk0,allied-attic1,2.174,4
16,zywZaQRwNzLy7okBFmz9JvB5Ix2Q,东方暮雪,2.017,2
17,zyiPLcm0UDsiqUIYIgAUmaAfdirF,clxudyyzx,5.063,135
18,zyi3UTg3J2bFdlwmykx3KwgGeLFK,Shiva,2.178,4
19,zyfgGXqCr8s4QWJXf73chFLVzH10,mint,2.056,1
20,zycg2iYLGh64rZAS3Ru4DBgTLlng,PepperyIcecream,2.064,2
21,zyUMQ2nVjkf4JxYoJrGvM7NjgnYV,Subvyrse,6.610,115
22,zyTxfwVPUFGP5eGRvUd1suj1g3Rm,Naluxk,2.231,9
23,zyP4lNLqI8jXtlYggbCae5W2ZZuv,Larry,2.413,10
24,zyB3tGmSpJaBLVe2SFJSA8HaO4yn,Name,3.852,31
25,zyA8G2AXE9WiW6SfdMX6Wx2MaR4n,nahykow,4.801,33
26,zy2J0hAANJsKP4EwhCbLtEvRxvH5,ThunderEgg,2.035,2
27,zxvmT6UYj4pKAHixSZPpl80WN2F2,JaviGarni,2.022,2
28,zxqLraeZobEWDqE0uM8jbA0H5Gg7,Niaxn,2.338,23
29,zxoLhnktSpeZgv09uvMeEGVJWWns,DLDUB123,2.048,1
30,zxjbX823OkfKuLK9RfaAhncUtSA3,BowieD,2.054,2
31,zxiU1yvDUTrDtKO3LCcZggIfgP1I,kitzine5102,3.760,40
32,zxhueUHtrZJ5zNbVu4ZEd7GKu8AY,hellnocakey,3.172,16
33,zxgicGUNhPBiglVy7JQF1W4rTxyJ,ReimuYKT,2.002,1
34,zxcR6hWomZCBlZasq8Mgkeo36tuw,Sollunad,2.049,1
