ID Rank,Player,EX Rating,Total ID Rank
1,Mahou☆Shoujo!!,9.543,2726
2,melike_cookiecake,11.918,3479
3,TeamGames,12.119,7479
4,alex schmalex,11.807,9597
5,Lichtbaulb,11.314,11166
6,tapewormtickler,12.128,11396
7,:treblesat:,11.668,13610
8,Zennan,12.419,14109
9,bobob13131,12.374,18404
10,BurgerMinus,11.382,19034
11,AlphaDK,10.088,21738
12,Vaporeon,11.409,22980
13,hotsauceinramen,11.845,24052
14,rosie,10.935,28885
15,demigodagofast,6.010,29319
16,Zachava,8.056,29371
17,NULL,12.255,38931
18,ripstick,9.912,42628
19,Arbitrary,12.463,43333
20,ash!!!,7.245,48879
21,FacadeNico,11.708,49453
22,Pringles,11.739,49724
23,Ivycrose,9.704,49868
24,Metalhead\m/,11.489,49946
25,Punchy,11.985,50925
26,Velen,10.878,52099
27,CrazyToad,11.019,54451
28,Flowery,11.515,58200
29,F43555,10.339,58812
30,asymmetric,11.578,59124
31,m,11.987,61599
32,GreenJacobus,7.263,61841
33,jjules.,11.597,62812
34,Simply Resharkable,9.419,63626
